order_id,sample_id,site,date_collected,test,parameter,result,units,rep_limit,analysis_employee,param_analysis_date,instrument,method,matrix
2019011507,2019011507-01,303 LA CB 1m,2019-01-15T08:11:18Z,Chla,Chla,1.37,µg/L,0.5,dlangenfeld,2019-05-30T18:00:00Z,Turner Designs Trilogy Fluorometer,ELA-Chla,Lake Water
2019032602,2019032602-01,303 LA CB 1m,2019-03-26T02:46:38Z,Chla,Chla,1.18,µg/L,0.5,dlangenfeld,2019-05-30T18:00:00Z,Turner Designs Trilogy Fluorometer,ELA-Chla,Lake Water
2020010704,2020010704-01,303 LA CB 1m,2020-01-06T18:00:00Z,Chla,Chla,NA,µg/L,0.5,NA,NA,Turner Designs Trilogy Fluorometer,ELA-Chla,Lake Water
2020031706,2020031706-01,303 LA CB 1m,2020-03-17T10:03:54Z,Chla,Chla,NA,µg/L,0.5,NA,NA,Turner Designs Trilogy Fluorometer,ELA-Chla,Lake Water
2020010704,2020010704-01,303 LA CB 1m,2020-01-06T18:00:00Z,DIC,DIC,267,µM,NA,esmith,2020-01-07T18:00:00Z,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,Lake Water
2020031706,2020031706-01,303 LA CB 1m,2020-03-17T10:03:54Z,DIC,DIC,292,µM,NA,swarrack,2020-03-16T18:00:00Z,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,Lake Water
2019011507,2019011507-01,303 LA CB 1m,2019-01-15T08:11:18Z,DOC,DOC,753,µM,13,mbouch,2019-11-13T18:00:00Z,Shimadzu TOC-VCPH/CPN,FWI-DOC,Lake Water
2019032602,2019032602-01,303 LA CB 1m,2019-03-26T02:46:38Z,DOC,DOC,669,µM,13,mbouch,2019-11-20T18:00:00Z,Shimadzu TOC-VCPH/CPN,FWI-DOC,Lake Water
2020010704,2020010704-01,303 LA CB 1m,2020-01-06T18:00:00Z,DOC,DOC,NA,µM,13,NA,NA,Shimadzu TOC-VCPH/CPN,FWI-DOC,Lake Water
2020031706,2020031706-01,303 LA CB 1m,2020-03-17T10:03:54Z,DOC,DOC,NA,µM,13,NA,NA,Shimadzu TOC-VCPH/CPN,FWI-DOC,Lake Water
2019011507,2019011507-01,303 LA CB 1m,2019-01-15T08:11:18Z,NH3,NH3-N,626,µg/L,21,shavens,2019-01-15T18:00:00Z,Autoanalyzer II,ELA-TDN/NH3,Lake Water
2019032602,2019032602-01,303 LA CB 1m,2019-03-26T02:46:38Z,NH3,NH3-N,830,µg/L,5,shavens,2019-03-26T18:00:00Z,Autoanalyzer II,ELA-TDN/NH3,Lake Water
2020010704,2020010704-01,303 LA CB 1m,2020-01-06T18:00:00Z,NH3,NH3-N,570.9,µg/L,4.4,shavens,2020-01-08T18:00:00Z,AutoAnalyzer 3,ELA-TDN/NH3,Lake Water
2020031706,2020031706-01,303 LA CB 1m,2020-03-17T10:03:54Z,NH3,NH3-N,730,µg/L,4.4,shavens,2020-03-17T18:00:00Z,AutoAnalyzer 3,ELA-TDN/NH3,Lake Water
2019011507,2019011507-01,303 LA CB 1m,2019-01-15T08:11:18Z,NO2,NO2-N,2,µg/L,0.46,shavens,2019-01-15T18:00:00Z,Autoanalyzer II,ELA-NO2/NO3,Lake Water
2019032602,2019032602-01,303 LA CB 1m,2019-03-26T02:46:38Z,NO2,NO2-N,2,µg/L,2,shavens,2019-03-26T18:00:00Z,Autoanalyzer II,ELA-NO2/NO3,Lake Water
2020010704,2020010704-01,303 LA CB 1m,2020-01-06T18:00:00Z,NO2,NO2-N,1.2,µg/L,1,shavens,2020-01-08T18:00:00Z,AutoAnalyzer 3,ELA-NO2/NO3,Lake Water
2020031706,2020031706-01,303 LA CB 1m,2020-03-17T10:03:54Z,NO2,NO2-N,2,µg/L,0.46,shavens,2020-03-17T18:00:00Z,AutoAnalyzer 3,ELA-NO2/NO3,Lake Water
2019011507,2019011507-01,303 LA CB 1m,2019-01-15T08:11:18Z,NO3,NO3-N,7,µg/L,1.12,shavens,2019-01-15T18:00:00Z,Autoanalyzer II,ELA-NO2/NO3,Lake Water
2019032602,2019032602-01,303 LA CB 1m,2019-03-26T02:46:38Z,NO3,NO3-N,0,µg/L,1.12,shavens,2019-03-26T18:00:00Z,Autoanalyzer II,ELA-NO2/NO3,Lake Water
2020010704,2020010704-01,303 LA CB 1m,2020-01-06T18:00:00Z,NO3,NO3-N,4.6,µg/L,1.12,shavens,2020-01-08T18:00:00Z,AutoAnalyzer 3,ELA-NO2/NO3,Lake Water
2020031706,2020031706-01,303 LA CB 1m,2020-03-17T10:03:54Z,NO3,NO3-N,17,µg/L,1.12,shavens,2020-03-17T18:00:00Z,AutoAnalyzer 3,ELA-NO2/NO3,Lake Water
2020010704,2020010704-01,303 LA CB 1m,2020-01-06T18:00:00Z,pH,pH,5.835,SU,NA,esmith,2020-01-06T18:00:00Z,Fisher Scientific Accumet pH meter,ELA-pH,Lake Water
2020031706,2020031706-01,303 LA CB 1m,2020-03-17T10:03:54Z,pH,pH,5.79,SU,NA,swarrack,2020-03-16T18:00:00Z,Fisher Scientific Accumet pH meter,ELA-pH,Lake Water
2019011507,2019011507-01,303 LA CB 1m,2019-01-15T08:11:18Z,Phytoplankton,Total Biomass,NA,µg/L,1,NA,NA,Autoanalyzer II,ELA-Phytoplankton,Lake Water
2019032602,2019032602-01,303 LA CB 1m,2019-03-26T02:46:38Z,Phytoplankton,Total Biomass,NA,µg/L,1,NA,NA,Autoanalyzer II,ELA-Phytoplankton,Lake Water
2020010704,2020010704-01,303 LA CB 1m,2020-01-06T18:00:00Z,Phytoplankton,Total Biomass,NA,µg/L,1,NA,NA,Autoanalyzer II,ELA-Phytoplankton,Lake Water
2020031706,2020031706-01,303 LA CB 1m,2020-03-17T10:03:54Z,Phytoplankton,Total Biomass,NA,µg/L,1,NA,NA,NA,ELA-Phytoplankton,Lake Water
2019011507,2019011507-01,303 LA CB 1m,2019-01-15T08:11:18Z,Susp C/N,Susp C,872,µg/L,10,BASL - UAlberta,2019-09-18T18:00:00Z,Exeter CE 440 Elemental Analyzer,UA-C/N,Lake Water
2019011507,2019011507-01,303 LA CB 1m,2019-01-15T08:11:18Z,Susp C/N,Susp N,72,µg/L,15,BASL - UAlberta,2019-09-18T18:00:00Z,Exeter CE 440 Elemental Analyzer,UA-C/N,Lake Water
2019032602,2019032602-01,303 LA CB 1m,2019-03-26T02:46:38Z,Susp C/N,Susp C,1056,µg/L,10,BASL - UAlberta,2019-09-08T18:00:00Z,Exeter CE 440 Elemental Analyzer,UA-C/N,Lake Water
2019032602,2019032602-01,303 LA CB 1m,2019-03-26T02:46:38Z,Susp C/N,Susp N,100,µg/L,15,BASL - UAlberta,2019-09-08T18:00:00Z,Exeter CE 440 Elemental Analyzer,UA-C/N,Lake Water
2020010704,2020010704-01,303 LA CB 1m,2020-01-06T18:00:00Z,Susp C/N,Susp C,NA,µg/L,41.5,NA,NA,Exeter CE 440 Elemental Analyzer,UA-C/N,Lake Water
2020010704,2020010704-01,303 LA CB 1m,2020-01-06T18:00:00Z,Susp C/N,Susp N,NA,µg/L,15,NA,NA,Exeter CE 440 Elemental Analyzer,UA-C/N,Lake Water
2020031706,2020031706-01,303 LA CB 1m,2020-03-17T10:03:54Z,Susp C/N,Susp C,NA,µg/L,10,NA,NA,Exeter CE 440 Elemental Analyzer,UA-C/N,Lake Water
2020031706,2020031706-01,303 LA CB 1m,2020-03-17T10:03:54Z,Susp C/N,Susp N,NA,µg/L,10,NA,NA,Exeter CE 440 Elemental Analyzer,UA-C/N,Lake Water
2019011507,2019011507-01,303 LA CB 1m,2019-01-15T08:11:18Z,Susp Fe,Susp Fe,241,µg/L,19.4,cgregory,2019-05-08T18:00:00Z,PerkinElmer AAnalyst 400 AAS,ELA-SuspFe,Lake Water
2019032602,2019032602-01,303 LA CB 1m,2019-03-26T02:46:38Z,Susp Fe,Susp Fe,NA,µg/L,19.4,NA,NA,PerkinElmer AAnalyst 400 AAS,ELA-SuspFe,Lake Water
2020010704,2020010704-01,303 LA CB 1m,2020-01-06T18:00:00Z,Susp Fe,Susp Fe,NA,µg/L,19.4,NA,NA,PerkinElmer AAnalyst 400 AAS,ELA-SuspFe,Lake Water
2020031706,2020031706-01,303 LA CB 1m,2020-03-17T10:03:54Z,Susp Fe,Susp Fe,NA,µg/L,19.4,NA,NA,PerkinElmer AAnalyst 400 AAS,ELA-SuspFe,Lake Water
2019011507,2019011507-01,303 LA CB 1m,2019-01-15T08:11:18Z,Susp P,Susp P,NA,µg/L,0.2,NA,NA,Cole-Parmer 2100 Spectrophotometer,ELA-SuspP,Lake Water
2019032602,2019032602-01,303 LA CB 1m,2019-03-26T02:46:38Z,Susp P,Susp P,9,µg/L,1,mbouch,2019-11-24T18:00:00Z,Cole-Parmer 2100 Spectrophotometer,ELA-SuspP,Lake Water
2020010704,2020010704-01,303 LA CB 1m,2020-01-06T18:00:00Z,Susp P,Susp P,NA,µg/L,1,NA,NA,Cole-Parmer 2100 Spectrophotometer,ELA-SuspP,Lake Water
2020031706,2020031706-01,303 LA CB 1m,2020-03-17T10:03:54Z,Susp P,Susp P,NA,µg/L,1,NA,NA,Cole-Parmer 2100 Spectrophotometer,ELA-SuspP,Lake Water
2019011507,2019011507-01,303 LA CB 1m,2019-01-15T08:11:18Z,TDN,TDN,919,µg/L,28,shavens,2019-01-16T18:00:00Z,Autoanalyzer II,ELA-TDN/NH3,Lake Water
